PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,SG/SF,Garrison Mathews (14074190),Garrison Mathews,14074190,SG/SF/F/G/UTIL,3000,POR@WAS 01/03/2020 07:00PM ET,WAS,9.33
,,,,,,,,,SG,Gary Trent Jr. (14074200),Gary Trent Jr.,14074200,SG/G/UTIL,3000,POR@WAS 01/03/2020 07:00PM ET,POR,7.35
,,,,,,,,,PF/C,Anthony Tolliver (14074213),Anthony Tolliver,14074213,PF/C/F/UTIL,3000,POR@WAS 01/03/2020 07:00PM ET,POR,9.78
,,,,,,,,,PF/C,Skal Labissiere (14074217),Skal Labissiere,14074217,PF/C/F/UTIL,3000,POR@WAS 01/03/2020 07:00PM ET,POR,15.97
,,,,,,,,,SG/SF,C.J. Miles (14074243),C.J. Miles,14074243,SG/SF/F/G/UTIL,3000,POR@WAS 01/03/2020 07:00PM ET,WAS,12.85
,,,,,,,,,PG,John Wall (14074248),John Wall,14074248,PG/G/UTIL,3000,POR@WAS 01/03/2020 07:00PM ET,WAS,0
,,,,,,,,,SF/PF,Admiral Schofield (14074251),Admiral Schofield,14074251,SF/PF/F/UTIL,3000,POR@WAS 01/03/2020 07:00PM ET,WAS,6.61
,,,,,,,,,PG,Justin Robinson (14074255),Justin Robinson,14074255,PG/G/UTIL,3000,POR@WAS 01/03/2020 07:00PM ET,WAS,3.53
,,,,,,,,,SF,Isaac Bonga (14074258),Isaac Bonga,14074258,SF/F/UTIL,3000,POR@WAS 01/03/2020 07:00PM ET,WAS,10.28
,,,,,,,,,SG/SF,Rodney Hood (14074359),Rodney Hood,14074359,SG/SF/F/G/UTIL,3000,POR@WAS 01/03/2020 07:00PM ET,POR,19.90
,,,,,,,,,SF/PF,Mario Hezonja (14074364),Mario Hezonja,14074364,SF/PF/F/UTIL,3000,POR@WAS 01/03/2020 07:00PM ET,POR,11.94
,,,,,,,,,SF/PF,Jaylen Hoard (14074368),Jaylen Hoard,14074368,SF/PF/F/UTIL,3000,POR@WAS 01/03/2020 07:00PM ET,POR,4.15
,,,,,,,,,C,Moses Brown (14074372),Moses Brown,14074372,C/UTIL,3000,POR@WAS 01/03/2020 07:00PM ET,POR,3.92
,,,,,,,,,SF/PF,Nassir Little (14074374),Nassir Little,14074374,SF/PF/F/UTIL,3000,POR@WAS 01/03/2020 07:00PM ET,POR,9.38
,,,,,,,,,SG/SF,Melvin Frazier (14074168),Melvin Frazier,14074168,SG/SF/F/G/UTIL,3000,MIA@ORL 01/03/2020 07:00PM ET,ORL,2.31
,,,,,,,,,PG/SG,Michael Carter-Williams (14074205),Michael Carter-Williams,14074205,PG/SG/G/UTIL,3000,MIA@ORL 01/03/2020 07:00PM ET,ORL,14.84
,,,,,,,,,SF/PF,James Johnson (14074221),James Johnson,14074221,SF/PF/F/UTIL,3000,MIA@ORL 01/03/2020 07:00PM ET,MIA,8.12
,,,,,,,,,PF/C,Kelly Olynyk (14074225),Kelly Olynyk,14074225,PF/C/F/UTIL,3000,MIA@ORL 01/03/2020 07:00PM ET,MIA,17.60
,,,,,,,,,SF/PF,Al-Farouq Aminu (14074261),Al-Farouq Aminu,14074261,SF/PF/F/UTIL,3000,MIA@ORL 01/03/2020 07:00PM ET,ORL,14.94
,,,,,,,,,SG/SF,B.J. Johnson (14074265),B.J. Johnson,14074265,SG/SF/F/G/UTIL,3000,MIA@ORL 01/03/2020 07:00PM ET,ORL,0
,,,,,,,,,PG,Josh Magette (14074270),Josh Magette,14074270,PG/G/UTIL,3000,MIA@ORL 01/03/2020 07:00PM ET,ORL,3.25
,,,,,,,,,PF,Udonis Haslem (14074378),Udonis Haslem,14074378,PF/F/UTIL,3000,MIA@ORL 01/03/2020 07:00PM ET,MIA,4.38
,,,,,,,,,SG/SF,Dion Waiters (14074381),Dion Waiters,14074381,SG/SF/F/G/UTIL,3000,MIA@ORL 01/03/2020 07:00PM ET,MIA,0
,,,,,,,,,C,Chris Silva (14074386),Chris Silva,14074386,C/UTIL,3000,MIA@ORL 01/03/2020 07:00PM ET,MIA,9.82
