PG,SG,SF,PF,C,G,F,UTIL,,Instructions,,,,,,,,
13993209,13992951,13993004,13992942,13993030,13992882,13992874,13992998,,1. Locate the player you want to select in the list below ,,,,,,,,
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
,,,,,,,,,3. Paste the ID into the roster position desired ,,,,,,,,
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
,,,,,,,,,5. You can create up to 500 lineups per file ,,,,,,,,
 ,,,,,,,,,,,,,,,,,
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,PG/SF,Terance Mann (13993273),Terance Mann,13993273,PG/SF/F/G/UTIL,3000,HOU@LAC 12/19/2019 10:30PM ET,LAC,6.58
,,,,,,,,,PF/C,Mfiondu Kabengele (13993278),Mfiondu Kabengele,13993278,PF/C/F/UTIL,3000,HOU@LAC 12/19/2019 10:30PM ET,LAC,4.47
,,,,,,,,,PG/SF,Amir Coffey (13993282),Amir Coffey,13993282,PG/SF/F/G/UTIL,3000,HOU@LAC 12/19/2019 10:30PM ET,LAC,0
,,,,,,,,,C,Tyson Chandler (13993363),Tyson Chandler,13993363,C/UTIL,3000,HOU@LAC 12/19/2019 10:30PM ET,HOU,6.79
,,,,,,,,,C,Nene Hilario (13993365),Nene Hilario,13993365,C/UTIL,3000,HOU@LAC 12/19/2019 10:30PM ET,HOU,0
,,,,,,,,,SG/SF,Gerald Green (13993367),Gerald Green,13993367,SG/SF/F/G/UTIL,3000,HOU@LAC 12/19/2019 10:30PM ET,HOU,0
,,,,,,,,,SF/PF,Thabo Sefolosha (13993372),Thabo Sefolosha,13993372,SF/PF/F/UTIL,3000,HOU@LAC 12/19/2019 10:30PM ET,HOU,6.77
,,,,,,,,,PG/SG,Michael Frazier (13993376),Michael Frazier,13993376,PG/SG/G/UTIL,3000,HOU@LAC 12/19/2019 10:30PM ET,HOU,0
,,,,,,,,,PF/C,Gary Clark (13993380),Gary Clark,13993380,PF/C/F/UTIL,3000,HOU@LAC 12/19/2019 10:30PM ET,HOU,9.52
,,,,,,,,,PF/C,Isaiah Hartenstein (13993384),Isaiah Hartenstein,13993384,PF/C/F/UTIL,3000,HOU@LAC 12/19/2019 10:30PM ET,HOU,9.11
,,,,,,,,,C,Robin Lopez (13993177),Robin Lopez,13993177,C/UTIL,3000,LAL@MIL 12/19/2019 08:00PM ET,MIL,11.01
,,,,,,,,,SG/SF,Cameron Reynolds (13993220),Cameron Reynolds,13993220,SG/SF/F/G/UTIL,3000,LAL@MIL 12/19/2019 08:00PM ET,MIL,0
,,,,,,,,,PG/SG,Frank Mason III (13993225),Frank Mason III,13993225,PG/SG/G/UTIL,3000,LAL@MIL 12/19/2019 08:00PM ET,MIL,4.42
,,,,,,,,,SF/PF,Thanasis Antetokounmpo (13993229),Thanasis Antetokounmpo,13993229,SF/PF/F/UTIL,3000,LAL@MIL 12/19/2019 08:00PM ET,MIL,4.55
,,,,,,,,,PF/C,D.J. Wilson (13993233),D.J. Wilson,13993233,PF/C/F/UTIL,3000,LAL@MIL 12/19/2019 08:00PM ET,MIL,9.23
,,,,,,,,,PF/C,Dragan Bender (13993237),Dragan Bender,13993237,PF/C/F/UTIL,3000,LAL@MIL 12/19/2019 08:00PM ET,MIL,8.83
