Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,Buddy Hield (14009512),Buddy Hield,14009512,SG/SF/F/G/UTIL,7100,SAC@MEM 12/21/2019 08:00PM ET,SAC,34.99
SF/PF,Davis Bertans (14009517),Davis Bertans,14009517,SF/PF/F/UTIL,7000,WAS@PHI 12/21/2019 07:00PM ET,WAS,28.32
SG/SF,DeMar DeRozan (14009521),DeMar DeRozan,14009521,SG/SF/F/G/UTIL,6900,LAC@SA 12/21/2019 08:30PM ET,SA,36.25
PF/C,Al Horford (14009526),Al Horford,14009526,PF/C/F/UTIL,6800,WAS@PHI 12/21/2019 07:00PM ET,PHI,31.88
PF/C,Julius Randle (14009530),Julius Randle,14009530,PF/C/F/UTIL,6700,MIL@NY 12/21/2019 07:30PM ET,NY,34.32
PG/SG,Lou Williams (14009534),Lou Williams,14009534,PG/SG/G/UTIL,6700,LAC@SA 12/21/2019 08:30PM ET,LAC,33.46
PF/C,Blake Griffin (14009538),Blake Griffin,14009538,PF/C/F/UTIL,6600,CHI@DET 12/21/2019 07:00PM ET,DET,27.97
PG,De'Aaron Fox (14009542),De'Aaron Fox,14009542,PG/G/UTIL,6600,SAC@MEM 12/21/2019 08:00PM ET,SAC,34.75
SG/SF,Khris Middleton (14009551),Khris Middleton,14009551,SG/SF/F/G/UTIL,6500,MIL@NY 12/21/2019 07:30PM ET,MIL,32.14
SF/PF,Kelly Oubre Jr. (14009545),Kelly Oubre Jr.,14009545,SF/PF/F/UTIL,6500,HOU@PHO 12/21/2019 09:00PM ET,PHO,31.70
C,Jonas Valanciunas (14009549),Jonas Valanciunas,14009549,C/UTIL,6500,SAC@MEM 12/21/2019 08:00PM ET,MEM,31.74
PF/C,Jaren Jackson Jr. (14009556),Jaren Jackson Jr.,14009556,PF/C/F/UTIL,6500,SAC@MEM 12/21/2019 08:00PM ET,MEM,29.20
PF/C,Lauri Markkanen (14009564),Lauri Markkanen,14009564,PF/C/F/UTIL,6400,CHI@DET 12/21/2019 07:00PM ET,CHI,29.11
PF/C,Montrezl Harrell (14009560),Montrezl Harrell,14009560,PF/C/F/UTIL,6400,LAC@SA 12/21/2019 08:30PM ET,LAC,34.48
SF/PF,Carmelo Anthony (14009572),Carmelo Anthony,14009572,SF/PF/F/UTIL,6300,MIN@POR 12/21/2019 10:00PM ET,POR,29.68
PG/SG,Derrick Rose (14009568),Derrick Rose,14009568,PG/SG/G/UTIL,6300,CHI@DET 12/21/2019 07:00PM ET,DET,29.84
PF/C,Wendell Carter Jr. (14009580),Wendell Carter Jr.,14009580,PF/C/F/UTIL,6200,CHI@DET 12/21/2019 07:00PM ET,CHI,29.16
