PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,SG/SF,Evan Fournier (14003844),Evan Fournier,14003844,SG/SF/F/G/UTIL,6200,ORL@POR 12/20/2019 10:00PM ET,ORL,30.57
,,,,,,,,,SF/PF,Gordon Hayward (14003840),Gordon Hayward,14003840,SF/PF/F/UTIL,6200,DET@BOS 12/20/2019 07:30PM ET,BOS,33.34
,,,,,,,,,PG/SG,Dennis Schroder (14003836),Dennis Schroder,14003836,PG/SG/G/UTIL,6200,PHO@OKC 12/20/2019 08:00PM ET,OKC,29.15
,,,,,,,,,C,Steven Adams (14003849),Steven Adams,14003849,C/UTIL,6100,PHO@OKC 12/20/2019 08:00PM ET,OKC,30.5
,,,,,,,,,PG,Jeff Teague (14003853),Jeff Teague,14003853,PG/G/UTIL,6100,MIN@DEN 12/20/2019 09:00PM ET,MIN,29.83
,,,,,,,,,C,Tristan Thompson (14003851),Tristan Thompson,14003851,C/UTIL,6100,MEM@CLE 12/20/2019 07:00PM ET,CLE,32.71
,,,,,,,,,C,Mitchell Robinson (14003860),Mitchell Robinson,14003860,C/UTIL,6000,NY@MIA 12/20/2019 08:00PM ET,NY,24.56
,,,,,,,,,PG/SG,Derrick Rose (14003856),Derrick Rose,14003856,PG/SG/G/UTIL,6000,DET@BOS 12/20/2019 07:30PM ET,DET,30.34
,,,,,,,,,SF/PF,Carmelo Anthony (14003862),Carmelo Anthony,14003862,SF/PF/F/UTIL,5900,ORL@POR 12/20/2019 10:00PM ET,POR,30.48
,,,,,,,,,PF/C,Rui Hachimura (14003866),Rui Hachimura,14003866,PF/C/F/UTIL,5800,WAS@TOR 12/20/2019 07:30PM ET,WAS,25.17
,,,,,,,,,PG/SF,Justise Winslow (14003874),Justise Winslow,14003874,PG/SF/F/G/UTIL,5800,NY@MIA 12/20/2019 08:00PM ET,MIA,29.22
,,,,,,,,,SF/PF,Robert Covington (14003870),Robert Covington,14003870,SF/PF/F/UTIL,5800,MIN@DEN 12/20/2019 09:00PM ET,MIN,25.98
,,,,,,,,,PG/SG,RJ Barrett (14003879),RJ Barrett,14003879,PG/SG/G/UTIL,5700,NY@MIA 12/20/2019 08:00PM ET,NY,28.06
,,,,,,,,,PF/C,Frank Kaminsky (14003883),Frank Kaminsky,14003883,PF/C/F/UTIL,5700,PHO@OKC 12/20/2019 08:00PM ET,PHO,24.14
